[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000639s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000732s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'menu.php' for inclusion (include_path='.;C:\php\pear;E:\koyo\fornu\ThinkPHP/Extend/Vendor/') 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.006346s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006409s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000356s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000354s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000230s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000420s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001526s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000350s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000402s ]
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/images/reg_step_1.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/images/temp_reg_cer.png | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:11+08:00 ] /fornu/index/User/images/reg_step_2.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.001530s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001680s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000516s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000599s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000394s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000478s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'menu.php' for inclusion (include_path='.;C:\php\pear;E:\koyo\fornu\ThinkPHP/Extend/Vendor/') 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.008223s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008310s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000576s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000436s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000286s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000484s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002009s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000454s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000527s ]
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/images/reg_step_2.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/images/temp_reg_cer.png | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:15+08:00 ] /fornu/index/User/images/reg_step_1.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.000550s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000631s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000367s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000425s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000287s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000350s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'menu.php' for inclusion (include_path='.;C:\php\pear;E:\koyo\fornu\ThinkPHP/Extend/Vendor/') 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.006120s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006190s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000323s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000307s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000182s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000365s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001344s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000295s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000348s ]
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/images/reg_step_1.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/images/reg_step_2.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:16+08:00 ] /fornu/index/User/images/temp_reg_cer.png | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.001501s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001727s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001095s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001267s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000931s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.001120s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'menu.php' for inclusion (include_path='.;C:\php\pear;E:\koyo\fornu\ThinkPHP/Extend/Vendor/') 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.014851s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014957s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000290s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000307s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000170s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000330s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001252s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000349s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000399s ]
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/images/reg_step_1.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/images/temp_reg_cer.png | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:10:17+08:00 ] /fornu/index/User/images/reg_step_2.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.000600s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000676s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000443s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000496s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.000497s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000562s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'menu.php' for inclusion (include_path='.;C:\php\pear;E:\koyo\fornu\ThinkPHP/Extend/Vendor/') 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.006906s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006969s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000405s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000382s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000325s ]
