[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000384s ]
[ 2012-08-07T22:37:58+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000437s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000572s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000656s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000690s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000760s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.007100s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007207s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000692s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000554s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000361s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000543s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002360s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000459s ]
[ 2012-08-07T22:44:28+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000513s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000921s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001075s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000835s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000956s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009692s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009814s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000508s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000505s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000323s ]
